                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3475,                 2.5205,                 1.2363,                0.43293,                0.58154,                0.39275,                 0.2392,                 1.2368,                 3.1268,                 1.2116,             0.00046676,             0.00046676,             0.00046676
                      2,                 1.2188,                 1.1181,                 1.1592,                0.51847,                0.54767,                0.52316,                0.29588,                  1.544,                 2.0394,                 1.5705,             0.00091256,             0.00091256,             0.00091256
                      3,                 1.2125,                 1.0432,                 1.1693,                0.71051,                0.61743,                 0.6911,                0.43368,                  1.357,                 1.7949,                 1.4467,              0.0013201,              0.0013201,              0.0013201
                      4,                  1.187,                0.99341,                 1.1868,                0.66918,                0.67677,                0.68607,                0.41191,                 1.3461,                 1.6721,                 1.3508,               0.001469,               0.001469,               0.001469
                      5,                 1.1833,                 0.9091,                  1.179,                0.67562,                0.53945,                0.59572,                0.39186,                 1.2858,                 2.0915,                 1.3193,               0.001469,               0.001469,               0.001469
                      6,                 1.1613,                0.88705,                 1.1612,                0.85992,                0.78156,                0.82932,                0.56896,                 1.1286,                  1.049,                 1.2333,              0.0014029,              0.0014029,              0.0014029
                      7,                 1.1397,                0.83946,                 1.1496,                0.70149,                0.72029,                0.76893,                 0.5166,                 1.1383,                 1.1866,                 1.2551,              0.0013369,              0.0013369,              0.0013369
                      8,                 1.1348,                0.86576,                  1.158,                0.87486,                0.80033,                0.84001,                0.59674,                 1.0395,                0.80771,                 1.1788,              0.0012709,              0.0012709,              0.0012709
                      9,                   1.06,                0.77917,                 1.1244,                0.85499,                0.84795,                0.85915,                0.60836,                 1.0475,                0.80352,                 1.2097,              0.0012049,              0.0012049,              0.0012049
                     10,                 1.0646,                0.77849,                 1.1239,                0.86977,                 0.8194,                0.85751,                0.60872,                 1.0273,                0.83584,                 1.1493,              0.0011389,              0.0011389,              0.0011389
                     11,                 1.0203,                0.74776,                 1.0772,                0.89137,                0.80593,                0.83726,                0.60611,                 1.0342,                0.82267,                 1.1389,              0.0010729,              0.0010729,              0.0010729
                     12,                 1.0102,                0.70206,                 1.0853,                0.89061,                0.81105,                0.85556,                0.61877,                0.97983,                0.75402,                 1.1429,              0.0010069,              0.0010069,              0.0010069
                     13,                 1.0082,                 0.6923,                 1.0808,                0.91481,                0.86049,                0.89998,                0.66144,                0.97185,                 0.7002,                 1.1346,             0.00094085,             0.00094085,             0.00094085
                     14,                0.95028,                0.67885,                 1.0648,                0.89327,                0.87647,                 0.9138,                0.66842,                0.96084,                 0.6798,                 1.1218,             0.00087484,             0.00087484,             0.00087484
                     15,                0.91481,                0.64376,                 1.0441,                0.89194,                0.86767,                0.88555,                0.67573,                0.91049,                 0.6907,                 1.0932,             0.00080883,             0.00080883,             0.00080883
                     16,                0.84861,                0.59845,                 1.0281,                0.86699,                 0.8884,                0.90078,                0.68376,                0.88858,                0.64167,                 1.0644,             0.00074282,             0.00074282,             0.00074282
                     17,                0.82075,                0.56521,                  1.009,                0.88793,                0.88791,                0.90417,                0.69239,                0.87182,                0.62393,                 1.0634,              0.0006768,              0.0006768,              0.0006768
                     18,                 0.8128,                0.55221,                 1.0055,                0.93136,                 0.8914,                0.92757,                0.70592,                 0.8436,                0.58336,                 1.0457,             0.00061079,             0.00061079,             0.00061079
                     19,                0.77866,                  0.528,                0.98142,                0.91842,                0.89813,                0.93031,                 0.7265,                0.80678,                0.58429,                 1.0268,             0.00054478,             0.00054478,             0.00054478
                     20,                0.75319,                0.51833,                0.96064,                0.94489,                0.88945,                0.94619,                0.73715,                 0.7982,                0.52969,                 1.0207,             0.00047876,             0.00047876,             0.00047876
                     21,                 0.7097,                0.49249,                0.95419,                0.92177,                0.90633,                0.94759,                0.75421,                 0.7804,                0.52906,                 1.0136,             0.00041275,             0.00041275,             0.00041275
                     22,                 0.6868,                0.46671,                0.93579,                0.91948,                0.89488,                0.94644,                0.75009,                 0.7715,                0.52802,                 1.0117,             0.00034674,             0.00034674,             0.00034674
                     23,                 0.6571,                0.45678,                0.93194,                0.93737,                0.89924,                0.95702,                0.77471,                0.72304,                0.48386,                0.98636,             0.00028072,             0.00028072,             0.00028072
                     24,                0.63623,                0.43327,                0.92584,                0.94995,                0.91496,                0.95794,                0.77265,                0.71498,                0.47323,                0.98136,             0.00021471,             0.00021471,             0.00021471
                     25,                0.61913,                 0.4249,                0.91611,                 0.9505,                 0.9189,                0.96645,                0.78446,                0.69334,                0.44831,                0.97079,              0.0001487,              0.0001487,              0.0001487
